"LAT","LON","YEAR","MO","DY","WS50M","QV2M","ALLSKY_SFC_UV_INDEX","Date","predicted_power_usage","date"
-33.75,19.25,2020,1,7,4.02,8.97,2.27,2020-01-07,2.15916590257324,2020-01-07
-33.75,19.75,2020,1,7,4.5,9.12,2.27,2020-01-07,2.17698861848339,2020-01-07
-33.75,20.25,2020,1,7,4.96,9.8,1.52,2020-01-07,2.31469057011549,2020-01-07
-33.75,20.75,2020,1,7,5.02,10.61,1.52,2020-01-07,2.49489889991689,2020-01-07
-33.25,18.75,2020,1,7,4.04,8.94,2.78,2020-01-07,2.15175459121947,2020-01-07
-33.25,19.25,2020,1,7,3.96,8.75,2.27,2020-01-07,2.11166972352628,2020-01-07
-33.25,19.75,2020,1,7,4.67,9.1,2.27,2020-01-07,2.1668523964294,2020-01-07
-33.25,20.25,2020,1,7,5.19,9.59,1.52,2020-01-07,2.25982682912655,2020-01-07
-33.25,20.75,2020,1,7,4.99,10.06,1.52,2020-01-07,2.37217903694942,2020-01-07
-32.75,18.75,2020,1,7,3.65,8.61,2.46,2020-01-07,2.09045886102421,2020-01-07
-32.75,19.25,2020,1,7,3.52,8.51,1.84,2020-01-07,2.07227630944649,2020-01-07
-32.75,19.75,2020,1,7,4.46,8.8,1.84,2020-01-07,2.10633561867112,2020-01-07
-32.75,20.25,2020,1,7,5.49,9.14,1.15,2020-01-07,2.14865715882001,2020-01-07
-32.75,20.75,2020,1,7,5.74,9.46,1.15,2020-01-07,2.21234618176965,2020-01-07
-32.25,18.75,2020,1,7,3.52,8.73,2.46,2020-01-07,2.12176219616849,2020-01-07
-32.25,19.25,2020,1,7,3.62,8.19,1.84,2020-01-07,1.99698065839247,2020-01-07
-32.25,19.75,2020,1,7,4.26,8.22,1.84,2020-01-07,1.98250518532083,2020-01-07
-32.25,20.25,2020,1,7,5.18,8.59,1.15,2020-01-07,2.03522259833605,2020-01-07
-32.25,20.75,2020,1,7,5.78,9.12,1.15,2020-01-07,2.13454152141594,2020-01-07
-34.25,18.75,2020,1,8,5.52,12.45,2.69,2020-01-08,2.89219996429979,2020-01-08
-34.25,19.25,2020,1,8,6.58,11.35,2.95,2020-01-08,2.60961902843083,2020-01-08
-34.25,19.75,2020,1,8,6.9,10.82,2.95,2020-01-08,2.4797912543337,2020-01-08
-33.75,18.75,2020,1,8,4.77,11.47,2.74,2020-01-08,2.69663417847614,2020-01-08
-33.75,19.25,2020,1,8,5.55,10.08,2.67,2020-01-08,2.35810714895714,2020-01-08
-33.75,19.75,2020,1,8,5.66,9.63,2.67,2020-01-08,2.25323821962155,2020-01-08
-33.75,20.25,2020,1,8,5.64,9.82,2.73,2020-01-08,2.29663926677313,2020-01-08
